,up,down,left,right
"(4,,)",-3.68928,-3.951424,-202.68928,-202.68928
"(4,,)",-3.3616,-202.3616,-202.68928,-202.3616
"(4,,)",-3.68928,-2.952,-202.68928,-202.68928
"(4,,)",-3.951424,-3.3616,-202.3616,-202.951424
"(4,,)",-3.951424,-3.68928,-202.68928,-202.951424
"(4,,)",-3.68928,-3.951424,-202.951424,-202.951424
"(4,,)",-3.951424,-3.68928,-202.68928,-202.68928
"(4,,)",-3.3616,-3.951424,-202.3616,-3.951424
"(4,,)",-3.68928,-3.951424,-202.68928,-202.3616
"(4,,)",-202.68928,-201.952,-3.951424,-2.952
"(4,,)",-3.3616,-2.44,-202.3616,-202.3616
"(4,,)",-202.3616,-2.952,-2.952,-2.952
"(4,,)",-2.952,-2.44,-202.3616,-201.952
"(4,,)",-201.952,-2.44,-2.952,-201.44
"(4,,)",-2.952,-1.8,-200.8,-200.8
"(4,,)",-3.3616,-1.0,-201.44,-201.44
"(4,,)",-2.952,-2.952,-200.8,-201.44
"(4,,)",-2.44,-201.44,-202.3616,-2.952
"(4,,)",-2.952,-2.952,-201.952,-200.8
"(4,,)",-1.0,-2.44,-1.8,-201.44
"(4,,)",-1.8,-1.8,-200.8,-201.952
"(4,,)",-2.44,-2.44,-201.44,-201.44
"(4,,)",-2.44,-2.952,-201.952,-201.952
"(4,,)",-2.952,-3.3616,-201.44,-202.3616
"(4,,)",-2.952,-3.68928,-202.3616,-202.68928
"(4,,)",-3.3616,-201.952,-202.3616,-201.952
"(4,,)",-3.68928,-2.44,-202.68928,-202.3616
"(4,,)",-3.68928,-2.952,-201.952,-3.68928
"(4,,)",-3.951424,-3.3616,-202.3616,-202.951424
"(4,,)",-202.68928,-202.68928,-3.68928,-202.951424
"(5,,)",-360.0,-202.3616,-201.44,-2.44
"(5,,)",-200.0,-2.952,-201.44,-1.8
"(5,,)",-200.8,-201.952,-2.44,-2.952
"(5,,)",-3.3616,-202.3616,-2.44,-2.952
"(5,,)",-201.952,-202.3616,-2.44,-3.3616
"(5,,)",-201.952,-3.3616,-2.952,-2.952
"(5,,)",-202.3616,-201.44,-2.952,-2.44
"(5,,)",-201.952,-2.952,-2.952,-201.952
"(5,,)",-201.952,-201.44,-3.3616,-3.3616
"(5,,)",-3.3616,-201.952,-201.952,-2.952
"(5,,)",-202.3616,-202.3616,-3.3616,-3.951424
"(5,,)",-202.68928,-200.8,-3.68928,-202.3616
"(5,,)",-200.0,-201.952,-3.3616,-2.952
"(5,,)",-202.3616,-2.44,-201.952,-3.3616
"(5,,)",-202.68928,-201.952,-2.952,-3.68928
"(5,,)",-202.951424,-202.68928,-3.3616,-3.951424
"(5,,)",-202.951424,-202.68928,-3.68928,-4.1611392
"(5,,)",-202.3616,-202.3616,-3.951424,-3.951424
"(5,,)",-202.68928,-203.1611392,-3.68928,-4.1611392
"(5,,)",-3.951424,-202.3616,-3.951424,-201.952
"(5,,)",-202.3616,-202.3616,-4.1611392,-2.44
"(5,,)",-2.952,-1.8,-201.952,-2.952
"(5,,)",-202.3616,-201.44,-2.44,-2.44
"(5,,)",-2.952,-201.952,-2.952,-2.44
"(5,,)",-201.952,-201.952,-2.44,-1.8
"(5,,)",-201.44,-201.44,-2.44,-1.0
"(5,,)",-200.8,-200.8,-1.8,-1.8
"(5,,)",-201.44,-200.8,-2.44,-201.44
"(5,,)",-201.44,-201.952,-1.8,-2.44
"(5,,)",-3.3616,-201.44,-201.44,-2.44
"(5,,)",-200.8,-201.44,-2.952,-1.8
"(5,,)",-201.44,-201.44,-1.8,-2.44
"(5,,)",-201.952,-201.952,-1.8,-1.8
"(5,,)",-201.44,-202.3616,-2.44,-3.3616
"(5,,)",-202.3616,-202.3616,-2.952,-3.68928
"(5,,)",-202.3616,-3.68928,-3.3616,-201.952
"(5,,)",-202.68928,-202.3616,-3.68928,-2.44
"(5,,)",-201.952,-2.952,-201.952,-2.952
"(5,,)",-202.3616,-201.44,-2.44,-3.3616
"(5,,)",-3.68928,-202.68928,-2.952,-202.68928
"(5,,)",-202.951424,-362.151424,-3.3616,-202.68928
"(6,,)",-201.44,-202.3616,-202.3616,-2.952
"(6,,)",-2.44,-2.952,-202.3616,-201.952
"(6,,)",-2.44,-3.3616,-2.952,-202.3616
"(6,,)",-2.952,-3.3616,-201.952,-202.3616
"(6,,)",-2.952,-3.68928,-202.3616,-3.3616
"(6,,)",-3.3616,-3.3616,-202.3616,-201.44
"(6,,)",-2.952,-201.952,-3.68928,-2.952
"(6,,)",-3.3616,-2.44,-202.3616,-201.44
"(6,,)",-200.8,-2.952,-1.8,-200.8
"(6,,)",-3.3616,-2.44,-201.44,-202.3616
"(6,,)",-3.68928,-2.952,-201.952,-201.952
"(6,,)",-3.951424,-3.3616,-201.952,-201.44
"(6,,)",-202.3616,-2.952,-200.8,-2.44
"(6,,)",-1.8,-2.952,-201.44,-201.952
"(6,,)",-3.3616,-202.3616,-2.44,-202.68928
"(6,,)",-3.68928,-3.3616,-201.952,-202.68928
"(6,,)",-3.951424,-3.3616,-202.68928,-202.3616
"(6,,)",-3.68928,-2.952,-202.68928,-203.1611392
"(6,,)",-3.951424,-202.3616,-202.3616,-202.951424
"(6,,)",-4.1611392,-3.68928,-203.1611392,-202.3616
"(6,,)",-201.952,-202.3616,-202.951424,-2.952
"(6,,)",-2.44,-2.952,-201.44,-201.44
"(6,,)",-2.952,-2.44,-1.8,-201.44
"(6,,)",-2.44,-2.44,-201.44,-201.952
"(6,,)",-2.44,-2.952,-201.44,-201.44
"(6,,)",-1.8,-2.44,-201.952,-200.8
"(6,,)",-1.0,-1.8,-201.44,-201.44
"(6,,)",-1.8,-1.8,-200.8,-200.0
"(6,,)",-201.44,-2.44,-200.8,-201.44
"(6,,)",-2.44,-2.952,-201.952,-201.952
"(6,,)",-2.44,-201.44,-200.8,-201.44
"(6,,)",-1.8,-2.952,-200.0,-201.952
"(6,,)",-2.44,-202.3616,-201.44,-201.44
"(6,,)",-2.952,-3.3616,-201.952,-202.68928
"(6,,)",-3.3616,-3.68928,-202.3616,-3.68928
"(6,,)",-3.68928,-3.3616,-202.3616,-202.3616
"(6,,)",-201.952,-201.952,-3.68928,-2.952
"(6,,)",-3.3616,-2.44,-200.0,-201.44
"(6,,)",-2.952,-2.952,-1.8,-202.68928
"(6,,)",-3.3616,-3.3616,-201.44,-361.88928
"(6,,)",-202.68928,-202.68928,-202.68928,-361.88928
"(7,,)",-202.3616,-201.952,-202.3616,-2.952
"(7,,)",-2.952,-2.44,-201.952,-3.3616
"(7,,)",-201.952,-202.3616,-2.952,-2.952
"(7,,)",-202.3616,-202.68928,-2.952,-3.68928
"(7,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(7,,)",-3.3616,-202.68928,-2.952,-201.952
"(7,,)",-202.3616,-202.68928,-3.3616,-2.44
"(7,,)",-2.952,-200.8,-201.952,-2.952
"(7,,)",-201.44,-201.952,-2.44,-2.44
"(7,,)",-201.952,-201.952,-2.952,-2.952
"(7,,)",-202.3616,-201.952,-2.44,-3.3616
"(7,,)",-201.952,-200.8,-2.952,-2.952
"(7,,)",-201.952,-201.44,-2.44,-2.952
"(7,,)",-2.44,-200.8,-2.952,-202.3616
"(7,,)",-201.952,-201.44,-2.952,-3.3616
"(7,,)",-202.68928,-2.952,-202.3616,-3.3616
"(7,,)",-202.68928,-202.3616,-3.3616,-2.952
"(7,,)",-202.3616,-2.44,-3.3616,-202.3616
"(7,,)",-203.1611392,-201.952,-2.952,-3.68928
"(7,,)",-202.951424,-3.3616,-202.3616,-202.3616
"(7,,)",-202.3616,-201.952,-3.68928,-2.952
"(7,,)",-2.952,-202.3616,-202.3616,-2.44
"(7,,)",-201.44,-201.952,-2.952,-1.8
"(7,,)",-201.952,-201.952,-2.44,-2.952
"(7,,)",-201.952,-202.3616,-2.952,-2.44
"(7,,)",-200.8,-201.44,-2.952,-1.8
"(7,,)",-200.8,-201.44,-2.44,-1.0
"(7,,)",-201.44,-200.0,-1.8,-2.44
"(7,,)",-200.0,-201.952,-1.8,-2.952
"(7,,)",-201.952,-3.3616,-2.44,-200.0
"(7,,)",-201.44,-201.952,-2.44,-2.952
"(7,,)",-201.44,-2.44,-200.0,-201.44
"(7,,)",-201.952,-201.952,-2.952,-3.3616
"(7,,)",-201.44,-3.68928,-201.44,-2.952
"(7,,)",-202.68928,-201.44,-3.3616,-3.951424
"(7,,)",-3.68928,-201.44,-3.68928,-201.952
"(7,,)",-201.44,-201.44,-3.3616,-2.44
"(7,,)",-2.952,-2.952,-201.952,-2.952
"(7,,)",-201.44,-201.44,-2.44,-3.3616
"(7,,)",-202.68928,-200.8,-2.952,-202.68928
"(7,,)",-361.88928,-361.5616,-3.3616,-202.68928
"(8,,)",-202.3616,-201.952,-201.952,-2.952
"(8,,)",-2.952,-2.952,-201.952,-202.3616
"(8,,)",-2.952,-201.952,-2.952,-201.952
"(8,,)",-3.3616,-3.3616,-201.952,-201.44
"(8,,)",-3.68928,-2.952,-202.3616,-202.68928
"(8,,)",-3.3616,-3.3616,-202.3616,-201.952
"(8,,)",-201.952,-3.3616,-201.952,-201.952
"(8,,)",-2.44,-2.952,-202.68928,-202.3616
"(8,,)",-2.952,-3.3616,-201.952,-201.952
"(8,,)",-2.44,-2.44,-201.44,-201.952
"(8,,)",-2.44,-201.44,-201.44,-201.952
"(8,,)",-3.3616,-2.44,-201.952,-200.8
"(8,,)",-2.952,-1.8,-201.952,-200.8
"(8,,)",-2.952,-1.0,-201.44,-201.44
"(8,,)",-202.3616,-1.8,-200.8,-2.952
"(8,,)",-3.3616,-2.44,-201.44,-202.3616
"(8,,)",-3.3616,-201.952,-2.952,-3.3616
"(8,,)",-2.952,-2.952,-201.44,-201.952
"(8,,)",-202.3616,-3.3616,-3.3616,-3.3616
"(8,,)",-2.952,-3.68928,-201.952,-201.952
"(8,,)",-202.3616,-3.951424,-3.3616,-201.952
"(8,,)",-2.952,-3.68928,-202.68928,-201.44
"(8,,)",-2.44,-3.68928,-202.3616,-201.952
"(8,,)",-2.44,-3.3616,-201.952,-202.3616
"(8,,)",-2.952,-2.952,-201.952,-201.44
"(8,,)",-1.8,-2.44,-202.3616,-201.44
"(8,,)",-1.8,-2.952,-201.44,-201.44
"(8,,)",-1.8,-2.44,-201.44,-200.0
"(8,,)",-2.44,-2.952,-200.0,-2.44
"(8,,)",-2.952,-2.952,-201.952,-201.952
"(8,,)",-200.0,-2.44,-2.44,-2.44
"(8,,)",-2.952,-1.8,-201.952,-201.952
"(8,,)",-201.44,-201.44,-2.44,-2.952
"(8,,)",-3.3616,-3.3616,-201.952,-201.44
"(8,,)",-3.68928,-1.8,-2.952,-201.952
"(8,,)",-2.44,-2.44,-200.8,-202.3616
"(8,,)",-201.952,-201.44,-201.44,-2.952
"(8,,)",-2.44,-2.44,-202.3616,-201.44
"(8,,)",-2.952,-1.8,-1.8,-201.952
"(8,,)",-2.44,-3.3616,-201.44,-361.5616
"(8,,)",-202.68928,-202.68928,-201.952,-360.64
"(9,,)",-201.952,-202.3616,-201.952,-2.44
"(9,,)",-2.44,-2.952,-201.952,-201.952
"(9,,)",-201.952,-202.3616,-2.952,-2.44
"(9,,)",-201.952,-2.952,-201.952,-2.952
"(9,,)",-201.44,-202.3616,-2.44,-3.3616
"(9,,)",-202.68928,-202.68928,-2.952,-3.3616
"(9,,)",-202.68928,-202.3616,-3.3616,-2.952
"(9,,)",-201.952,-202.3616,-2.44,-3.3616
"(9,,)",-202.3616,-202.3616,-2.952,-3.3616
"(9,,)",-201.952,-2.952,-3.3616,-201.44
"(9,,)",-201.952,-201.44,-3.3616,-1.8
"(9,,)",-200.8,-1.8,-201.44,-1.8
"(9,,)",-201.44,-201.44,-2.44,-1.0
"(9,,)",-200.8,-200.8,-1.8,-1.8
"(9,,)",-200.8,-200.8,-1.0,-2.44
"(9,,)",-2.952,-201.44,-1.8,-201.952
"(9,,)",-201.44,-202.68928,-2.44,-3.68928
"(9,,)",-3.3616,-202.3616,-201.952,-3.3616
"(9,,)",-201.952,-202.68928,-2.952,-3.68928
"(9,,)",-3.3616,-202.68928,-3.3616,-3.951424
"(9,,)",-201.952,-202.68928,-3.68928,-3.951424
